"都道府県番号","団体コード","都道府県名（漢字）","市区町村名（漢字）","都道府県名（カナ）","市区町村名（カナ）"
"01","010006","北海道","","ﾎｯｶｲﾄﾞｳ",""
"01","011002","北海道","札幌市","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼ"
"01","011011","北海道","札幌市中央区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ"
"01","011029","北海道","札幌市北区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼｷﾀｸ"
"01","011037","北海道","札幌市東区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾋｶﾞｼｸ"
"01","011045","北海道","札幌市白石区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼｼﾛｲｼｸ"
"01","011053","北海道","札幌市豊平区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾄﾖﾋﾗｸ"
"01","011061","北海道","札幌市南区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾐﾅﾐｸ"
"01","011070","北海道","札幌市西区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾆｼｸ"
"01","011088","北海道","札幌市厚別区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼｱﾂﾍﾞﾂｸ"
"01","011096","北海道","札幌市手稲区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾃｲﾈｸ"
"01","011100","北海道","札幌市清田区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼｷﾖﾀｸ"
"01","012025","北海道","函館市","ﾎｯｶｲﾄﾞｳ","ﾊｺﾀﾞﾃｼ"
"01","012033","北海道","小樽市","ﾎｯｶｲﾄﾞｳ","ｵﾀﾙｼ"
"01","012041","北海道","旭川市","ﾎｯｶｲﾄﾞｳ","ｱｻﾋｶﾜｼ"
"01","012050","北海道","室蘭市","ﾎｯｶｲﾄﾞｳ","ﾑﾛﾗﾝｼ"
"01","012068","北海道","釧路市","ﾎｯｶｲﾄﾞｳ","ｸｼﾛｼ"
"01","012076","北海道","帯広市","ﾎｯｶｲﾄﾞｳ","ｵﾋﾞﾋﾛｼ"
"01","012084","北海道","北見市","ﾎｯｶｲﾄﾞｳ","ｷﾀﾐｼ"
"01","012092","北海道","夕張市","ﾎｯｶｲﾄﾞｳ","ﾕｳﾊﾞﾘｼ"
"01","012106","北海道","岩見沢市","ﾎｯｶｲﾄﾞｳ","ｲﾜﾐｻﾞﾜｼ"
"01","012114","北海道","網走市","ﾎｯｶｲﾄﾞｳ","ｱﾊﾞｼﾘｼ"
"01","012122","北海道","留萌市","ﾎｯｶｲﾄﾞｳ","ﾙﾓｲｼ"
"01","012131","北海道","苫小牧市","ﾎｯｶｲﾄﾞｳ","ﾄﾏｺﾏｲｼ"
"01","012149","北海道","稚内市","ﾎｯｶｲﾄﾞｳ","ﾜｯｶﾅｲｼ"
"01","012157","北海道","美唄市","ﾎｯｶｲﾄﾞｳ","ﾋﾞﾊﾞｲｼ"
"01","012165","北海道","芦別市","ﾎｯｶｲﾄﾞｳ","ｱｼﾍﾞﾂｼ"
"01","012173","北海道","江別市","ﾎｯｶｲﾄﾞｳ","ｴﾍﾞﾂｼ"
"01","012181","北海道","赤平市","ﾎｯｶｲﾄﾞｳ","ｱｶﾋﾞﾗｼ"
"01","012190","北海道","紋別市","ﾎｯｶｲﾄﾞｳ","ﾓﾝﾍﾞﾂｼ"
"01","012203","北海道","士別市","ﾎｯｶｲﾄﾞｳ","ｼﾍﾞﾂｼ"
"01","012211","北海道","名寄市","ﾎｯｶｲﾄﾞｳ","ﾅﾖﾛｼ"
"01","012220","北海道","三笠市","ﾎｯｶｲﾄﾞｳ","ﾐｶｻｼ"
"01","012238","北海道","根室市","ﾎｯｶｲﾄﾞｳ","ﾈﾑﾛｼ"
"01","012246","北海道","千歳市","ﾎｯｶｲﾄﾞｳ","ﾁﾄｾｼ"
"01","012254","北海道","滝川市","ﾎｯｶｲﾄﾞｳ","ﾀｷｶﾜｼ"
"01","012262","北海道","砂川市","ﾎｯｶｲﾄﾞｳ","ｽﾅｶﾞﾜｼ"
"01","012271","北海道","歌志内市","ﾎｯｶｲﾄﾞｳ","ｳﾀｼﾅｲｼ"
"01","012289","北海道","深川市","ﾎｯｶｲﾄﾞｳ","ﾌｶｶﾞﾜｼ"
"01","012297","北海道","富良野市","ﾎｯｶｲﾄﾞｳ","ﾌﾗﾉｼ"
"01","012301","北海道","登別市","ﾎｯｶｲﾄﾞｳ","ﾉﾎﾞﾘﾍﾞﾂｼ"
"01","012319","北海道","恵庭市","ﾎｯｶｲﾄﾞｳ","ｴﾆﾜｼ"
"01","012335","北海道","伊達市","ﾎｯｶｲﾄﾞｳ","ﾀﾞﾃｼ"
"01","012343","北海道","北広島市","ﾎｯｶｲﾄﾞｳ","ｷﾀﾋﾛｼﾏｼ"
"01","012351","北海道","石狩市","ﾎｯｶｲﾄﾞｳ","ｲｼｶﾘｼ"
"01","012360","北海道","北斗市","ﾎｯｶｲﾄﾞｳ","ﾎｸﾄｼ"
"01","013030","北海道","当別町","ﾎｯｶｲﾄﾞｳ","ﾄｳﾍﾞﾂﾁｮｳ"
"01","013048","北海道","新篠津村","ﾎｯｶｲﾄﾞｳ","ｼﾝｼﾉﾂﾑﾗ"
"01","013315","北海道","松前町","ﾎｯｶｲﾄﾞｳ","ﾏﾂﾏｴﾁｮｳ"
"01","013323","北海道","福島町","ﾎｯｶｲﾄﾞｳ","ﾌｸｼﾏﾁｮｳ"
"01","013331","北海道","知内町","ﾎｯｶｲﾄﾞｳ","ｼﾘｳﾁﾁｮｳ"
"01","013340","北海道","木古内町","ﾎｯｶｲﾄﾞｳ","ｷｺﾅｲﾁｮｳ"
"01","013374","北海道","七飯町","ﾎｯｶｲﾄﾞｳ","ﾅﾅｴﾁｮｳ"
"01","013439","北海道","鹿部町","ﾎｯｶｲﾄﾞｳ","ｼｶﾍﾞﾁｮｳ"
"01","013455","北海道","森町","ﾎｯｶｲﾄﾞｳ","ﾓﾘﾏﾁ"
"01","013463","北海道","八雲町","ﾎｯｶｲﾄﾞｳ","ﾔｸﾓﾁｮｳ"
"01","013471","北海道","長万部町","ﾎｯｶｲﾄﾞｳ","ｵｼｬﾏﾝﾍﾞﾁｮｳ"
"01","013617","北海道","江差町","ﾎｯｶｲﾄﾞｳ","ｴｻｼﾁｮｳ"
"01","013625","北海道","上ノ国町","ﾎｯｶｲﾄﾞｳ","ｶﾐﾉｸﾆﾁｮｳ"
"01","013633","北海道","厚沢部町","ﾎｯｶｲﾄﾞｳ","ｱｯｻﾌﾞﾁｮｳ"
"01","013641","北海道","乙部町","ﾎｯｶｲﾄﾞｳ","ｵﾄﾍﾞﾁｮｳ"
"01","013676","北海道","奥尻町","ﾎｯｶｲﾄﾞｳ","ｵｸｼﾘﾁｮｳ"
"01","013706","北海道","今金町","ﾎｯｶｲﾄﾞｳ","ｲﾏｶﾈﾁｮｳ"
"01","013714","北海道","せたな町","ﾎｯｶｲﾄﾞｳ","ｾﾀﾅﾁｮｳ"
"01","013919","北海道","島牧村","ﾎｯｶｲﾄﾞｳ","ｼﾏﾏｷﾑﾗ"
"01","013927","北海道","寿都町","ﾎｯｶｲﾄﾞｳ","ｽｯﾂﾁｮｳ"
"01","013935","北海道","黒松内町","ﾎｯｶｲﾄﾞｳ","ｸﾛﾏﾂﾅｲﾁｮｳ"
"01","013943","北海道","蘭越町","ﾎｯｶｲﾄﾞｳ","ﾗﾝｺｼﾁｮｳ"
"01","013951","北海道","ニセコ町","ﾎｯｶｲﾄﾞｳ","ﾆｾｺﾁｮｳ"
"01","013960","北海道","真狩村","ﾎｯｶｲﾄﾞｳ","ﾏｯｶﾘﾑﾗ"
"01","013978","北海道","留寿都村","ﾎｯｶｲﾄﾞｳ","ﾙｽﾂﾑﾗ"
"01","013986","北海道","喜茂別町","ﾎｯｶｲﾄﾞｳ","ｷﾓﾍﾞﾂﾁｮｳ"
"01","013994","北海道","京極町","ﾎｯｶｲﾄﾞｳ","ｷｮｳｺﾞｸﾁｮｳ"
"01","014001","北海道","倶知安町","ﾎｯｶｲﾄﾞｳ","ｸｯﾁｬﾝﾁｮｳ"
"01","014010","北海道","共和町","ﾎｯｶｲﾄﾞｳ","ｷｮｳﾜﾁｮｳ"
"01","014028","北海道","岩内町","ﾎｯｶｲﾄﾞｳ","ｲﾜﾅｲﾁｮｳ"
"01","014036","北海道","泊村","ﾎｯｶｲﾄﾞｳ","ﾄﾏﾘﾑﾗ"
"01","014044","北海道","神恵内村","ﾎｯｶｲﾄﾞｳ","ｶﾓｴﾅｲﾑﾗ"
"01","014052","北海道","積丹町","ﾎｯｶｲﾄﾞｳ","ｼｬｺﾀﾝﾁｮｳ"
"01","014061","北海道","古平町","ﾎｯｶｲﾄﾞｳ","ﾌﾙﾋﾞﾗﾁｮｳ"
"01","014079","北海道","仁木町","ﾎｯｶｲﾄﾞｳ","ﾆｷﾁｮｳ"
"01","014087","北海道","余市町","ﾎｯｶｲﾄﾞｳ","ﾖｲﾁﾁｮｳ"
"01","014095","北海道","赤井川村","ﾎｯｶｲﾄﾞｳ","ｱｶｲｶﾞﾜﾑﾗ"
"01","014231","北海道","南幌町","ﾎｯｶｲﾄﾞｳ","ﾅﾝﾎﾟﾛﾁｮｳ"
"01","014249","北海道","奈井江町","ﾎｯｶｲﾄﾞｳ","ﾅｲｴﾁｮｳ"
"01","014257","北海道","上砂川町","ﾎｯｶｲﾄﾞｳ","ｶﾐｽﾅｶﾞﾜﾁｮｳ"
"01","014273","北海道","由仁町","ﾎｯｶｲﾄﾞｳ","ﾕﾆﾁｮｳ"
"01","014281","北海道","長沼町","ﾎｯｶｲﾄﾞｳ","ﾅｶﾞﾇﾏﾁｮｳ"
"01","014290","北海道","栗山町","ﾎｯｶｲﾄﾞｳ","ｸﾘﾔﾏﾁｮｳ"
"01","014303","北海道","月形町","ﾎｯｶｲﾄﾞｳ","ﾂｷｶﾞﾀﾁｮｳ"
"01","014311","北海道","浦臼町","ﾎｯｶｲﾄﾞｳ","ｳﾗｳｽﾁｮｳ"
"01","014320","北海道","新十津川町","ﾎｯｶｲﾄﾞｳ","ｼﾝﾄﾂｶﾜﾁｮｳ"
"01","014338","北海道","妹背牛町","ﾎｯｶｲﾄﾞｳ","ﾓｾｳｼﾁｮｳ"
"01","014346","北海道","秩父別町","ﾎｯｶｲﾄﾞｳ","ﾁｯﾌﾟﾍﾞﾂﾁｮｳ"
